frame,points,total,diff
399,0,23,23
400,0,5,5
401,0,6,6
402,0,3,3
403,0,11,11
404,28,33,5
405,28,33,5
406,28,33,5
407,28,33,5
408,28,33,5
409,28,33,5
410,28,33,5
411,28,33,5
412,28,33,5
413,28,33,5
414,0,33,33
415,0,12,12
416,0,3,3
417,0,5,5
418,2,9,7
419,42,44,2
420,43,44,1
421,42,44,2
422,40,44,4
423,38,44,6
424,37,44,7
425,41,44,3
426,39,44,5
427,31,44,13
428,0,44,44
429,0,13,13
430,0,5,5
431,0,3,3
432,0,8,8
433,49,49,0
434,49,49,0
435,49,49,0
436,49,49,0
437,49,49,0
438,49,49,0
439,49,49,0
440,49,49,0
441,44,49,5
442,35,49,14
443,0,49,49
444,0,10,10
445,0,5,5
446,0,7,7
447,16,26,10
448,16,26,10
449,16,26,10
450,15,26,11
451,14,26,12
452,14,26,12
453,13,26,13
454,42,43,1
455,30,43,13
456,2,43,41
457,0,36,36
458,0,8,8
459,0,3,3
460,0,7,7
461,24,35,11
462,24,35,11
463,24,35,11
464,24,35,11
465,24,35,11
466,24,35,11
467,25,35,10
468,25,35,10
469,26,35,9
470,26,35,9
471,24,35,11
472,0,35,35
473,0,8,8
474,0,4,4
475,1,7,6
476,12,31,19
477,45,45,0
478,45,45,0
479,45,45,0
480,44,45,1
481,44,45,1
482,44,45,1
483,40,45,5
484,25,45,20
485,0,45,45
486,0,30,30
487,0,7,7
488,0,6,6
489,0,8,8
490,2,28,26
491,27,42,15
492,27,42,15
493,27,42,15
494,27,42,15
495,25,42,17
496,25,42,17
497,27,42,15
498,29,42,13
499,21,42,21
500,0,42,42
501,0,8,8
502,0,3,3
503,11,18,7
504,10,18,8
505,10,18,8
506,10,18,8
507,10,18,8
508,9,18,9
509,42,43,1
510,43,43,0
511,42,43,1
512,42,43,1
513,37,43,6
514,0,43,43
515,0,6,6
516,0,6,6
517,0,8,8
518,46,49,3
519,47,49,2
520,47,49,2
521,47,49,2
522,47,49,2
523,47,49,2
524,47,49,2
525,47,49,2
526,45,49,4
527,46,49,3
528,42,49,7
529,0,49,49
530,0,12,12
531,0,4,4
532,0,3,3
533,6,11,5
534,6,11,5
535,6,11,5
536,6,11,5
537,6,11,5
538,5,11,6
539,45,45,0
540,38,45,7
541,0,45,45
542,0,11,11
543,0,7,7
544,0,4,4
545,0,8,8
546,51,52,1
547,51,52,1
548,52,52,0
549,52,52,0
550,50,52,2
551,50,52,2
552,50,52,2
553,48,52,4
554,0,52,52
555,0,21,21
556,0,7,7
557,0,3,3
558,2,15,13
559,41,44,3
560,39,44,5
561,35,44,9
562,33,44,11
563,31,44,13
564,32,44,12
565,27,44,17
566,27,44,17
567,6,44,38
568,0,44,44
569,0,7,7
570,0,5,5
571,0,6,6
572,21,27,6
573,21,27,6
574,21,27,6
575,21,27,6
576,21,27,6
577,21,27,6
578,21,27,6
579,18,27,9
580,18,27,9
581,19,27,8
582,20,27,7
583,0,27,27
584,0,11,11
585,0,4,4
586,0,4,4
587,32,34,2
588,32,34,2
