1 8
14 20
32 57
62 72
78 92
94 109
111 122
128 135
143 151
160 166
177 184
193 201
209 216
225 231
240 247
256 261
271 279
284 294
296 308
311 336
341 350
354 363
369 376
385 392
398 406
414 421
428 435
443 449
453 463
472 479
485 493
499 505
508 511
514 520
529 535
538 548
554 574
583 589
596 603
610 616
624 630
638 658
666 672
679 686
691 698
704 710
717 750
759 765
773 784
786 792
801 806
814 849
856 863
873 879
893 901
905 913
922 927
936 942
948 956
963 970
976 983
991 996
1002 1021
1028 1034
1040 1046
1050 1057
1063 1070
1077 1082
1090 1098
1102 1109
1116 1122
1128 1135
1140 1158
1165 1171
1177 1183
1190 1198
1204 1215
1223 1250
1259 1279
1282 1291
1298 1303
1310 1317
1323 1333
1336 1343
1349 1358
1363 1384
1387 1393
