5 14
23 30
39 48
56 69
74 83
91 99
104 115
128 133
144 150
159 167
174 182
192 197
205 214
221 225
234 243
249 260
266 275
280 294
296 308
312 340
343 359
361 373
379 391
394 404
411 419
428 438
446 468
477 485
488 498
504 526
532 540
543 555
558 579
587 592
600 608
615 623
626 635
644 651
653 669
670 694
699 710
715 725
728 737
741 749
755 767
769 778
784 792
797 806
811 820
825 834
840 849
854 876
883 890
898 907
912 918
928 949
951 959
965 972
978 997
1001 1041
1045 1064
1067 1089
1093 1139
1144 1168
1169 1190
1195 1204
1206 1215
1221 1229
1231 1242
1245 1254
1257 1265
1270 1292
1294 1314
1318 1328
1329 1338
1341 1356
1358 1386
