frame,points,total,diff
399,0,5,5
400,0,3,3
401,0,1,1
402,6,7,1
403,6,7,1
404,6,7,1
405,6,7,1
406,6,7,1
407,6,7,1
408,6,7,1
409,6,7,1
410,6,7,1
411,2,7,5
412,0,18,18
413,0,6,6
414,0,4,4
415,0,1,1
416,0,3,3
417,13,19,6
418,14,19,5
419,13,19,6
420,14,19,5
421,15,19,4
422,18,19,1
423,17,19,2
424,17,19,2
425,17,19,2
426,17,19,2
427,17,19,2
428,7,19,12
429,0,39,39
430,0,8,8
431,0,4,4
432,0,2,2
433,0,3,3
434,1,6,5
435,29,32,3
436,32,32,0
437,32,32,0
438,32,32,0
439,32,32,0
440,32,32,0
441,32,32,0
442,32,32,0
443,32,32,0
444,32,32,0
445,27,32,5
446,1,32,31
447,0,32,32
448,0,5,5
449,0,1,1
450,3,5,2
451,2,5,3
452,48,48,0
453,47,48,1
454,35,48,13
455,26,48,22
456,33,48,15
457,35,48,13
458,10,48,38
459,0,48,48
460,0,35,35
461,0,7,7
462,0,9,9
463,0,2,2
464,0,3,3
465,0,2,2
466,5,7,2
467,6,7,1
468,5,7,2
469,5,7,2
470,5,7,2
471,5,7,2
472,4,7,3
473,5,7,2
474,5,7,2
475,6,7,1
476,6,7,1
477,0,7,7
478,0,1,1
479,0,2,2
480,0,4,4
481,4,13,9
482,43,48,5
483,45,48,3
484,45,48,3
485,46,48,2
486,45,48,3
487,45,48,3
488,1,48,47
489,0,44,44
490,0,13,13
491,0,6,6
492,0,4,4
493,0,4,4
494,0,1,1
495,2,4,2
496,31,31,0
497,31,31,0
498,31,31,0
499,30,31,1
500,31,31,0
501,29,31,2
502,28,31,3
503,26,31,5
504,0,31,31
505,0,6,6
506,0,2,2
507,0,2,2
508,1,10,9
509,0,9,9
510,9,17,8
511,8,17,9
512,46,48,2
513,48,48,0
514,46,48,2
515,31,48,17
516,5,48,43
517,1,48,47
518,0,35,35
519,0,8,8
520,0,6,6
521,0,3,3
522,0,3,3
523,0,2,2
524,25,25,0
525,25,25,0
526,25,25,0
527,25,25,0
528,25,25,0
529,24,25,1
530,23,25,2
531,23,25,2
532,0,25,25
533,0,5,5
534,0,6,6
535,0,6,6
536,0,2,2
537,3,7,4
538,48,48,0
539,48,48,0
540,48,48,0
541,48,48,0
542,46,48,2
543,1,48,47
544,0,41,41
545,0,13,13
546,0,4,4
547,0,4,4
548,0,43,43
549,0,7,7
550,0,5,5
551,0,2,2
552,22,22,0
553,19,22,3
554,19,22,3
555,20,22,2
556,20,22,2
557,20,22,2
558,6,22,16
559,0,28,28
560,0,6,6
561,0,1,1
562,0,4,4
563,0,7,7
564,0,4,4
565,43,46,3
566,39,46,7
567,40,46,6
568,44,46,2
569,28,46,18
570,0,46,46
571,0,15,15
572,0,4,4
573,0,7,7
574,0,10,10
575,0,4,4
576,0,2,2
577,29,29,0
578,28,29,1
579,28,29,1
580,28,29,1
581,28,29,1
582,28,29,1
583,28,29,1
584,28,29,1
585,28,29,1
586,21,29,8
587,0,29,29
588,0,1,1
589,0,1,1
590,11,19,8
591,10,19,9
592,10,19,9
593,10,19,9
594,10,19,9
595,10,19,9
596,10,19,9
597,10,19,9
598,14,19,5
599,19,19,0
600,2,19,17
601,0,27,27
602,0,3,3
603,0,1,1
604,0,2,2
605,16,20,4
606,14,20,6
607,13,20,7
608,13,20,7
609,14,20,6
610,14,20,6
611,14,20,6
612,14,20,6
613,14,20,6
614,16,20,4
615,0,20,20
616,0,15,15
617,0,1,1
618,0,2,2
619,0,2,2
620,6,20,14
621,47,48,1
622,47,48,1
623,47,48,1
624,47,48,1
625,47,48,1
626,5,48,43
627,1,42,41
628,0,28,28
629,0,11,11
630,0,6,6
631,0,2,2
632,0,1,1
633,7,9,2
634,8,9,1
635,8,9,1
636,8,9,1
637,8,9,1
638,8,9,1
639,8,9,1
640,8,9,1
641,8,9,1
642,8,9,1
643,6,9,3
644,1,9,8
645,0,5,5
646,0,2,2
647,0,2,2
648,0,1,1
649,48,48,0
650,47,48,1
651,48,48,0
652,42,48,6
653,3,48,45
654,1,49,48
655,0,42,42
656,0,20,20
