38 36 1
197 53 0
209 3 0
348 35 0
579 55 1
889 51 1
905 82 1
64 116 1
183 156 0
599 148 1
602 148 1
1079 147 1
1109 143 1
1 299 0
147 261 0
273 258 0
758 256 0
816 261 0
942 297 1
1003 200 1
28 399 0
134 333 0
347 336 0
579 321 1
628 372 0
789 365 1
864 379 1
916 377 1
1139 386 1
28 400 0
120 475 0
658 418 0
770 432 0
878 401 1
932 452 0
1099 450 1
1101 449 1
20 580 0
296 555 0
399 599 0
413 588 0
573 547 1
695 553 1
778 562 1
856 563 1
925 567 1
1178 512 1
15 654 0
116 612 0
299 683 1
334 655 0
400 600 0
860 613 1
