frame,points,total,diff
399,46,46,0
400,46,46,0
401,45,46,1
402,46,46,0
403,46,46,0
404,0,46,46
405,0,13,13
406,0,5,5
407,0,34,34
408,46,48,2
409,46,48,2
410,44,48,4
411,45,48,3
412,46,48,2
413,46,48,2
414,46,48,2
415,46,48,2
416,0,48,48
417,0,19,19
418,0,7,7
419,1,19,18
420,41,44,3
421,32,44,12
422,37,44,7
423,41,44,3
424,41,44,3
425,40,44,4
426,41,44,3
427,42,44,2
428,42,44,2
429,0,44,44
430,46,47,1
431,46,47,1
432,47,47,0
433,47,47,0
434,47,47,0
435,47,47,0
436,47,47,0
437,47,47,0
438,47,47,0
439,47,47,0
440,40,47,7
441,1,47,46
442,0,17,17
443,1,35,34
444,47,47,0
445,47,47,0
446,47,47,0
447,47,47,0
448,47,47,0
449,47,47,0
450,47,47,0
451,47,47,0
452,1,47,46
453,0,13,13
454,0,4,4
455,0,34,34
456,43,43,0
457,43,43,0
458,43,43,0
459,42,43,1
460,43,43,0
461,43,43,0
462,43,43,0
463,31,43,12
464,0,43,43
465,0,19,19
466,0,17,17
467,33,33,0
468,31,33,2
469,30,33,3
470,30,33,3
471,32,33,1
472,32,33,1
473,31,33,2
474,32,33,1
475,31,33,2
476,32,33,1
477,0,33,33
478,0,16,16
479,0,13,13
480,1,14,13
481,36,39,3
482,33,39,6
483,29,39,10
484,31,39,8
485,32,39,7
486,34,39,5
487,33,39,6
488,31,39,8
489,0,39,39
490,0,8,8
491,0,8,8
492,31,32,1
493,28,32,4
494,23,32,9
495,26,32,6
496,24,32,8
497,23,32,9
498,23,32,9
499,23,32,9
500,23,32,9
501,23,32,9
502,14,32,18
503,0,49,49
504,0,15,15
505,17,21,4
506,18,21,3
507,17,21,4
508,17,21,4
509,17,21,4
510,18,21,3
511,18,21,3
512,18,21,3
513,18,21,3
514,18,21,3
515,0,21,21
516,1,13,12
517,8,16,8
518,43,44,1
519,43,44,1
520,40,44,4
521,40,44,4
522,37,44,7
523,37,44,7
524,37,44,7
525,36,44,8
526,34,44,10
527,2,44,42
528,0,16,16
529,5,19,14
530,44,44,0
531,44,44,0
532,43,44,1
533,44,44,0
534,43,44,1
535,43,44,1
536,44,44,0
537,43,44,1
538,43,44,1
539,42,44,2
540,0,44,44
541,0,8,8
542,0,18,18
543,24,30,6
544,27,30,3
545,27,30,3
546,27,30,3
547,27,30,3
548,27,30,3
549,27,30,3
550,27,30,3
551,0,30,30
552,2,8,6
553,0,8,8
554,0,15,15
555,44,44,0
556,43,44,1
557,42,44,2
558,43,44,1
559,43,44,1
560,43,44,1
561,43,44,1
562,43,44,1
563,43,44,1
564,0,44,44
565,0,10,10
566,0,5,5
567,3,8,5
568,43,45,2
569,33,45,12
570,22,45,23
571,48,48,0
572,48,48,0
573,48,48,0
574,48,48,0
575,48,48,0
576,0,48,48
577,0,10,10
578,0,7,7
579,0,12,12
580,43,43,0
581,42,43,1
582,41,43,2
583,39,43,4
584,39,43,4
585,41,43,2
586,42,43,1
587,42,43,1
588,41,43,2
589,41,43,2
590,41,43,2
591,0,43,43
592,0,9,9
593,0,11,11
594,4,9,5
595,39,45,6
596,26,45,19
597,21,45,24
598,45,45,0
599,45,45,0
600,45,45,0
601,45,45,0
602,45,45,0
603,45,45,0
604,0,45,45
605,0,14,14
606,0,7,7
607,0,16,16
608,42,43,1
609,41,43,2
610,41,43,2
611,41,43,2
612,41,43,2
613,43,43,0
614,43,43,0
615,42,43,1
616,42,43,1
617,18,43,25
618,0,34,34
619,1,7,6
620,1,17,16
621,44,45,1
622,44,45,1
623,44,45,1
624,43,45,2
625,44,45,1
626,43,45,2
627,44,45,1
628,43,45,2
629,0,45,45
630,0,5,5
631,0,7,7
632,0,11,11
633,45,45,0
634,41,45,4
635,42,45,3
636,43,45,2
637,44,45,1
638,42,45,3
639,43,45,2
640,44,45,1
641,44,45,1
642,1,45,44
643,0,19,19
644,13,32,19
645,48,49,1
646,49,49,0
647,48,49,1
648,48,49,1
649,49,49,0
650,48,49,1
651,48,49,1
652,49,49,0
653,0,49,49
654,0,23,23
655,0,16,16
656,0,16,16
657,7,36,29
658,47,49,2
659,48,49,1
660,49,49,0
661,49,49,0
662,47,49,2
663,49,49,0
664,49,49,0
665,35,49,14
666,0,49,49
667,0,20,20
668,4,32,28
669,45,47,2
670,46,47,1
671,46,47,1
672,44,47,3
673,46,47,1
674,46,47,1
675,39,47,8
676,40,47,7
677,0,47,47
678,0,12,12
679,0,17,17
680,18,30,12
681,20,30,10
682,20,30,10
683,18,30,12
684,20,30,10
685,21,30,9
686,20,30,10
687,17,30,13
688,13,30,17
689,0,47,47
690,0,9,9
691,0,6,6
692,13,14,1
693,13,14,1
694,14,14,0
695,12,14,2
696,12,14,2
697,12,14,2
698,12,14,2
699,12,14,2
700,11,14,3
701,0,14,14
702,1,12,11
703,5,21,16
704,43,47,4
705,47,47,0
706,47,47,0
707,47,47,0
708,47,47,0
709,47,47,0
710,47,47,0
711,47,47,0
712,47,47,0
713,0,47,47
714,0,11,11
715,0,18,18
716,0,21,21
717,26,29,3
718,26,29,3
719,24,29,5
720,24,29,5
721,24,29,5
722,24,29,5
723,24,29,5
724,24,29,5
725,24,29,5
726,24,29,5
727,0,29,29
728,0,16,16
729,0,23,23
730,0,33,33
731,38,39,1
732,33,39,6
733,38,39,1
734,38,39,1
735,38,39,1
736,38,39,1
737,38,39,1
738,38,39,1
739,38,39,1
740,0,39,39
741,0,22,22
742,10,14,4
743,2,14,12
744,46,46,0
745,44,46,2
746,46,46,0
747,46,46,0
748,45,46,1
749,44,46,2
750,46,46,0
751,46,46,0
752,46,46,0
753,0,46,46
754,0,20,20
755,0,16,16
756,0,8,8
757,33,35,2
758,32,35,3
759,29,35,6
760,27,35,8
761,22,35,13
762,18,35,17
763,20,35,15
764,15,35,20
765,4,41,37
766,0,30,30
767,11,13,2
768,11,13,2
