frame,points,total,diff
399,45,46,1
400,44,46,2
401,43,46,3
402,44,46,2
403,43,46,3
404,0,46,46
405,0,13,13
406,0,5,5
407,0,34,34
408,45,48,3
409,43,48,5
410,40,48,8
411,42,48,6
412,41,48,7
413,41,48,7
414,41,48,7
415,40,48,8
416,0,48,48
417,0,19,19
418,0,7,7
419,1,19,18
420,27,44,17
421,18,44,26
422,44,44,0
423,44,44,0
424,44,44,0
425,44,44,0
426,44,44,0
427,44,44,0
428,44,44,0
429,0,44,44
430,41,47,6
431,38,47,9
432,46,47,1
433,44,47,3
434,44,47,3
435,47,47,0
436,47,47,0
437,46,47,1
438,47,47,0
439,47,47,0
440,26,47,21
441,1,47,46
442,0,17,17
443,1,35,34
444,46,47,1
445,46,47,1
446,46,47,1
447,46,47,1
448,47,47,0
449,46,47,1
450,46,47,1
451,47,47,0
452,0,47,47
453,0,13,13
454,0,4,4
455,0,34,34
456,41,43,2
457,42,43,1
458,41,43,2
459,40,43,3
460,43,43,0
461,43,43,0
462,43,43,0
463,24,43,19
464,0,43,43
465,0,19,19
466,0,17,17
467,32,33,1
468,30,33,3
469,30,33,3
470,30,33,3
471,30,33,3
472,30,33,3
473,30,33,3
474,30,33,3
475,30,33,3
476,30,33,3
477,0,33,33
478,0,16,16
479,0,13,13
480,1,14,13
481,33,39,6
482,30,39,9
483,28,39,11
484,27,39,12
485,29,39,10
486,30,39,9
487,30,39,9
488,28,39,11
489,0,39,39
490,0,8,8
491,0,8,8
492,25,32,7
493,23,32,9
494,20,32,12
495,21,32,11
496,19,32,13
497,19,32,13
498,17,32,15
499,17,32,15
500,17,32,15
501,16,32,16
502,34,51,17
503,0,51,51
504,0,15,15
505,17,21,4
506,18,21,3
507,17,21,4
508,17,21,4
509,17,21,4
510,18,21,3
511,18,21,3
512,18,21,3
513,18,21,3
514,17,21,4
515,0,21,21
516,1,13,12
517,5,16,11
518,36,44,8
519,36,44,8
520,35,44,9
521,35,44,9
522,34,44,10
523,31,44,13
524,31,44,13
525,29,44,15
526,27,44,17
527,0,44,44
528,0,16,16
529,5,19,14
530,37,44,7
531,39,44,5
532,39,44,5
533,39,44,5
534,40,44,4
535,38,44,6
536,38,44,6
537,39,44,5
538,38,44,6
539,29,44,15
540,0,44,44
541,0,8,8
542,0,18,18
543,18,30,12
544,26,30,4
545,26,30,4
546,27,30,3
547,25,30,5
548,26,30,4
549,26,30,4
550,26,30,4
551,0,30,30
552,2,8,6
553,0,8,8
554,0,15,15
555,42,44,2
556,41,44,3
557,38,44,6
558,41,44,3
559,42,44,2
560,42,44,2
561,41,44,3
562,42,44,2
563,41,44,3
564,0,44,44
565,0,10,10
566,0,5,5
567,3,8,5
568,38,45,7
569,21,45,24
570,45,48,3
571,44,48,4
572,46,48,2
573,48,48,0
574,48,48,0
575,46,48,2
576,0,48,48
577,0,10,10
578,0,7,7
579,0,12,12
580,41,43,2
581,42,43,1
582,38,43,5
583,37,43,6
584,37,43,6
585,39,43,4
586,39,43,4
587,39,43,4
588,39,43,4
589,39,43,4
590,40,43,3
591,0,43,43
592,0,9,9
593,0,11,11
594,3,9,6
